Name	Latitude	Longitude	City	State
Hunter College	40.7678398	-73.9645291	New York	NY
Huntingdon College	32.3505627	-86.28622949999999	Montgomery	AL
ICI University	37.1918777	-93.2625987	Springfield	MO
Idaho State University	42.8627836	-112.429762	Pocatello	ID
Illinois Institute of Technology	41.8348731	-87.6270059	Chicago	IL
Illinois State University	40.5120479	-88.9931683	Normal	IL
Indiana State University	39.4714449	-87.40827519999999	Terre Haute	IN
Indiana University System	39.1754487	-86.512627	Bloomington	IN
Indiana University/Purdue University at Indianapolis	39.7749927	-86.1772798	Indianapolis	IN
Indiana University at Bloomington	39.1754487	-86.512627	Bloomington	IN
Indiana University of Pennsylvania	40.6140124	-79.16146690000001	Indiana	PA
Indiana Wesleyan UniversityMarion	40.5169946	-85.6626462	Marion	IN
Inter American University of Puerto Rico Metropolitan Campus	18.3691274	-66.0778216	San Juan	San Juan
Iona College	40.9270597	-73.78634939999999	New Rochelle	NY
Iowa State University	42.0266573	-93.64645159999999	Ames	IA
Ithaca College	42.4244847	-76.4937786	Ithaca	NY
Jacksonville University	30.3530584	-81.6066798	Jacksonville	FL
Jacksonville State University	33.8230953	-85.7681921	Jacksonville	AL
James Madison University	38.435092	-78.8697548	Harrisonburg	VA
The Jewish Theological Seminary	42.5414615	-83.2845878	Bloomfield Hills	MI
John Brown University	36.1900219	-94.5605944	Siloam Springs	AR
John F. Kennedy University	37.9567523	-122.0546361	Pleasant Hill	CA
Johns Hopkins University	39.3299013	-76.6205177	Baltimore	MD
Johnson Bible College	35.936694	-83.749959	Knoxville	TN
Johnson C. Smith University	35.2433851	-80.85579349999999	Charlotte	NC
Johnson & Wales University	32.4133566	-97.35165579999999	TX
Jones College	31.5949078	-89.20072610000001	Ellisville	MS
Judson College	32.6306601	-87.3158296	Marion	AL
Juniata College	40.5001397	-78.01589779999999	Huntingdon	PA
Kalamazoo College	42.290035	-85.598145	Kalamazoo	MI
Kansas State University	39.1974437	-96.5847249	Manhattan	KS
Kansas Wesleyan University	38.8135523	-97.60908099999999	Salina	KS
Kean College	40.6787923	-74.232353	Union	NJ
Keene State College	42.9258384	-72.2813891	Keene	NH
Kenyon College	40.3743867	-82.3966193	Gambier	OH
King's College	41.2502745	-75.8794058	Wilkes-Barre	PA
Knox College	40.9433331	-90.3704499	Galesburg	IL
Kutztown University of Pennsylvania	40.5105216	-75.7829733	Kutztown	PA
La Sierra University	33.911478	-117.4999399	Riverside	CA
Lafayette College	40.6983134	-75.209746	Easton	PA
Lake Forest College	42.2503467	-87.82861419999999	Lake Forest	IL
Lake Superior State University	46.4918881	-84.36387739999999	Sault Ste. Marie	MI
Lamar University	30.0392256	-94.0747071	Beaumont	TX
LaSalle University	40.0390398	-75.1558184	Philadelphia	PA
Lawrence University	44.2611716	-88.3989041	Appleton	WI
Lawrence Technological University	42.4755011	-83.24979669999999	Southfield	MI
Lebanon Valley College	40.3337415	-76.51507959999999	Annville	PA
Lehigh Univervsity	40.6048687	-75.3775187	Bethlehem	PA
Le Moyne College	43.0497018	-76.0855042	Syracuse	NY
LeTourneau University	32.4662246	-94.72733509999999	Longview	TX
Lewis & Clark College	37.2252585	-95.7163918	Independence	KS
Lewis-Clark State College	46.41160439999999	-117.0256654	Lewiston	ID
Lewis University	41.6050295	-88.0805608	Romeoville	IL
Liberty University	37.3530446	-79.1769529	Lynchburg	VA
Lincoln University	39.80706929999999	-75.9282072	Lincoln University	PA
Linfield College	45.2006802	-123.1993365	McMinnville	OR
Lock Haven University of Pennsylvania	41.1407119	-77.4611367	Lock Haven	PA
Loma Linda University	34.0504252	-117.2641768	Loma Linda	CA
Long Island University	40.8172349	-73.5900738	Greenvale	NY
Loras College	42.5030898	-90.68106069999999	Dubuque	IA
Louisiana College	31.32531269999999	-92.4266877	Pineville	LA
Louisiana State University	30.4132579	-91.1800023	Baton Rouge	LA
Louisiana State University at Alexandria	31.178112	-92.41433669999999	Alexandria	LA
Louisiana Tech University	32.5282644	-92.6499298	Ruston	LA
Loyola College	32.4975637	-93.7493089	Shreveport	LA
Loyola Marymount University	33.9701634	-118.4166111	Los Angeles	CA
Loyola University Chicago	41.9987765	-87.6582585	Chicago	IL
Luther College	43.31479100000001	-91.80521019999999	Decorah	IA
Luther Seminary	44.9858214	-93.1967707	St Paul	MN
Lycoming College	41.2446263	-76.9982694	Williamsport	PA
Lyndon State College	44.5355567	-72.025198	Lyndon	VT
Lyon College	35.7792058	-91.6283696	Batesville	AR
Macalester College	44.9379243	-93.1690746	St Paul	MN
Maharishi University of Management	41.01790949999999	-91.9673578	Fairfield	IA
Malone College	40.8273693	-81.3790296	Canton	OH
Manhattan College	40.8900515	-73.9011239	NY
Mansfield University of Pennsylvania	41.8047541	-77.07042799999999	Mansfield	PA
Marist College	41.7231056	-73.9344866	Poughkeepsie	NY
Marlboro College	42.8390545	-72.7347545	Marlboro	VT
Marquette University	43.0388337	-87.92856669999999	Milwaukee	WI
Marshall University	38.4235252	-82.42641449999999	Huntington	WV
Marymount University	38.9051975	-77.1277085	Arlington	VA
Massachusetts Institute of Technology	42.360091	-71.09416	Cambridge	MA
McNeese State University	30.1788135	-93.21685680000002	Lake Charles	LA
Mercyhurst College	42.1040409	-80.05419669999999	Erie	PA
Meredith College	35.7991715	-78.6882481	Raleigh	NC
Messiah College	40.1582728	-76.9896306	Mechanicsburg	PA
Michigan State University	42.701848	-84.4821719	MI
Michigan Technological University	47.1150156	-88.54518139999999	Houghton	MI
Middlebury College	44.0081076	-73.1760413	Middlebury	VT
Middle Tennessee State University	35.8486105	-86.3648813	Murfreesboro	TN
Midwestern State University	33.8713557	-98.5215656	Wichita Falls	TX
Millikin University	39.84307769999999	-88.97489399999999	Decatur	IL
Millsaps College	32.3224258	-90.1782714	Jackson	MS
Milwaukee School of Engineering	43.0440406	-87.9085844	Milwaukee	WI
Minot State University	48.2486186	-101.3014106	Minot	ND
Minneapolis College of Art and Design	44.956657	-93.2741909	Minneapolis	MN
Mississippi College	32.3358902	-90.3305927	Clinton	MS
Mississippi State University	33.4551742	-88.79437659999999	Mississippi State	MS
Mississippi University for Women	33.4912194	-88.4185425	Columbus	MS
Molloy College	40.6862503	-73.6272086	Rockville Centre	NY
Monmouth College	40.9135265	-90.6386297	Monmouth	IL
Monmouth University	40.2802758	-74.0054114	West Long Branch	NJ
Montana State University-Billings	45.7965767	-108.5218662	Billings	MT
Montana State University-Bozeman	45.6673524	-111.0546211	Bozeman	MT
Montana Tech	46.0116149	-112.5569969	Butte	MT
Montclair State University	40.8642677	-74.19861329999999	Montclair	NJ
Montreat College	35.6464927	-82.29751379999999	Montreat	NC
Moravian College	40.6310336	-75.38135179999999	Bethlehem	PA
Morgan State University	39.3437959	-76.5843847	Baltimore	MD
Mount Holyoke College	42.25536150000001	-72.5722406	South Hadley	MA
Mount Saint Joseph College	39.0949575	-84.6381573	Cincinnati	OH
Mount Saint Mary College	41.511404	-74.01313669999999	Newburgh	NY
Muskingum College	40.0002942	-81.73904619999999	New Concord	OH
National-Louis University	41.8796299	-87.6252047	Chicago	IL
National University	32.8294835	-117.1272528	San Diego	CA
Nazareth College	43.1028694	-77.51960559999999	Rochester	NY
Newberry College	34.2861075	-81.6219227	Newberry	SC
New College of California	37.7671322	-122.4000145	SF	CA
New Jersey Institute of Technology	40.7427996	-74.1770884	Newark	NJ
New Mexico Highlands University	35.5962101	-105.2192167	Las Vegas	NM
New Mexico Institute of Mining & Technology	34.065993	-106.905611	Socorro	NM
New Mexico State University	32.2787745	-106.7479059	Las Cruces	NM
New York Institute of Technology	35.842162	-90.67842290000002	Jonesboro	AR
New York University	40.72951339999999	-73.9964609	New York	NY
Niagara University	43.1369816	-79.0349955	Niagara University	NY
Norfolk State University	36.8480161	-76.262085	Norfolk	VA
North Carolina Central University	35.9752487	-78.899654	Durham	NC
North Carolina A&T State University	36.0770034	-79.7718199	Greensboro	NC
North Carolina State University	35.7846633	-78.6820946	Raleigh	NC
North Carolina Wesleyan College	36.0186234	-77.77421850000002	Rocky Mount	NC
Northland College	46.58068799999999	-90.87329779999999	Ashland	WI
Northeastern State University	35.9209678	-94.965902	Tahlequah	OK
Northeastern University	42.3398067	-71.0891717	Boston	MA
Northern Arizona University	35.1804402	-111.6539683	Flagstaff	AZ
Northern Illinois University	41.934233	-88.774069	DeKalb	IL
Northern Kentucky University	39.0319664	-84.4645836	Highland Heights	KY
Northern Michigan University	46.5601965	-87.4076051	Marquette	MI
Northern State University	45.4510369	-98.4813447	Aberdeen	SD
Northwest Missouri State University	40.3519854	-94.8825243	Maryville	MO
Northwestern College of Iowa	42.9979484	-96.0582598	Orange City	IA
Northwestern State University	31.7503566	-93.0974451	Natchitoches	LA
Norwich University	44.13900539999999	-72.6612317	Northfield	VT
Nova Southeastern University	26.0800444	-80.2453353	Fort Lauderdale	FL
Oakland University	42.6678782	-83.20823469999999	Rochester	MI
Oberlin College	41.2958696	-82.22108899999999	Oberlin	OH
Occidental College	34.1273187	-118.2101144	Los Angeles	CA
Ohio Northern University	40.766263	-83.83250559999999	Ada	OH
Ohio State UniversityMarion	40.58037059999999	-83.09150869999999	Marion	OH
Ohio Wesleyan University	40.2965635	-83.0669667	Delaware	OH
Ohio UniversityAthens	39.324358	-82.10138889999999	Athens	OH
Oklahoma Baptist University	35.360563	-96.9326998	Shawnee	OK
Oklahoma City University	35.495481	-97.54101109999999	Oklahoma City	OK
Oklahoma State University	36.1270236	-97.07372219999999	Stillwater	OK
Old Dominion University	36.8858594	-76.3057051	Norfolk	VA
Olivet Nazarene University	41.1545555	-87.8712182	Bourbonnais	IL
Oral Roberts University	36.0507991	-95.9536715	Tulsa	OK
Oregon Graduate Institute of Science and Technology	42.2573474	-121.7849109	Klamath Falls	OR
Oregon Health Sciences University	45.4981043	-122.6856207	Portland	OR
Oregon State University	44.5637806	-123.2794443	Corvallis	OR
Otterbein College	40.1255427	-82.93651919999999	Westerville	OH
Our Lady of the Lake University	29.4263921	-98.5433881	San Antonio	TX
Pace University	40.7110772	-74.004811	New York	NY
Pacific Lutheran University	47.14519310000001	-122.4436669	Tacoma	WA
Pacific Union College	38.5698777	-122.4394834	Angwin	CA
Pacific University	45.5243174	-123.1103252	Forest Grove	OR
Pacific Western University	34.0521524	-118.4387401	Los Angeles	CA
Peace College	35.78948099999999	-78.637391	Raleigh	NC
Pennsylvania State University	40.7982133	-77.8599084	State College	PA
Pennsylvania State University-Schuylkill Campus	40.6406264	-76.16764839999999	Schuylkill Haven	PA
Pensacola Christian College	30.4731849	-87.23427679999999	Pensacola	FL
Pepperdine University	34.0414045	-118.7095814	Malibu	CA
Peru State College	40.4747647	-95.7321485	Peru	NE
Phillips University	36.3969163	-97.8774749	Enid	OK
Pittsburg State University	37.3902857	-94.6915709	Pittsburg	KS
Pitzer College	34.1042832	-117.7050738	Claremont	CA
Platt College	36.109311	-95.9039853	Tulsa	OK
Plymouth State College	43.76049769999999	-71.6861368	Plymouth	NH
Polytechnic University of Puerto Rico	28.5515775	-81.25399829999999	Orlando	FL
Pomona College	34.0977683	-117.7118837	Claremont	CA
Portland State University	45.5111471	-122.6834235	Portland	OR
Prairie View A&M University	30.0939175	-95.98989639999999	Prairie View	TX
Pratt Institute	40.6913844	-73.9629858	NY
Prescott College	34.5463872	-112.4762271	Prescott	AZ
Princeton University	40.3430942	-74.65507389999999	Princeton	NJ
Presbyterian College	34.465182	-81.87755899999999	Clinton	SC
Providence College	41.84387030000001	-71.4349215	Providence	RI
Purdue University	40.4237054	-86.92119459999999	West Lafayette	IN
Purdue University Calumet	41.5797663	-87.4740171	Hammond	IN
Quincy University	39.9405844	-91.38543870000001	Quincy	IL
Quinnipiac College	41.4189262	-72.89364929999999	Hamden	CT
Radford University	37.1395334	-80.5511003	Radford	VA
